time[ms],#packets last interval,#packets overall,overall avrg. packetsize [byte],overall sum packetsize [byte],overall thrp [Mb/s],thrp last interval [Mb/s]
1119500.0,0,168238,NaN,1.68043131E8,1.2008441697186245,NaN
1120000.0,0,168238,NaN,1.68043131E8,1.2003080785714286,NaN
1120500.0,0,168238,NaN,1.68043131E8,1.1997724658634539,NaN
1121000.0,0,168238,NaN,1.68043131E8,1.1992373309545048,NaN
1121500.0,0,168238,NaN,1.68043131E8,1.1987026732055284,NaN
1122000.0,0,168238,NaN,1.68043131E8,1.1981684919786098,NaN
1122500.0,0,168238,NaN,1.68043131E8,1.1976347866369712,NaN
1123000.0,0,168238,NaN,1.68043131E8,1.1971015565449687,NaN
1123500.0,0,168238,NaN,1.68043131E8,1.1965688010680908,NaN
1124000.0,0,168238,NaN,1.68043131E8,1.1960365195729536,NaN
1124500.0,0,168238,NaN,1.68043131E8,1.1955047114273012,NaN
1125000.0,0,168238,NaN,1.68043131E8,1.1949733759999999,NaN
1125500.0,0,168238,NaN,1.68043131E8,1.1944425126610394,NaN
1126000.0,0,168238,NaN,1.68043131E8,1.1939121207815275,NaN
1126500.0,0,168238,NaN,1.68043131E8,1.1933821997336882,NaN
1127000.0,0,168238,NaN,1.68043131E8,1.1928527488908607,NaN
1127500.0,0,168238,NaN,1.68043131E8,1.1923237676274945,NaN
1128000.0,0,168238,NaN,1.68043131E8,1.191795255319149,NaN
1128500.0,0,168238,NaN,1.68043131E8,1.19126721134249,NaN
1129000.0,0,168238,NaN,1.68043131E8,1.190739635075288,NaN
1129500.0,0,168238,NaN,1.68043131E8,1.1902125258964142,NaN
1130000.0,0,168238,NaN,1.68043131E8,1.1896858831858408,NaN
1130500.0,0,168238,NaN,1.68043131E8,1.189159706324635,NaN
1131000.0,0,168238,NaN,1.68043131E8,1.18863399469496,NaN
1131500.0,0,168238,NaN,1.68043131E8,1.188108747680071,NaN
1132000.0,0,168238,NaN,1.68043131E8,1.187583964664311,NaN
1132500.0,0,168238,NaN,1.68043131E8,1.1870596450331126,NaN
1133000.0,0,168238,NaN,1.68043131E8,1.186535788172992,NaN
1133500.0,0,168238,NaN,1.68043131E8,1.186012393471548,NaN
1134000.0,0,168238,NaN,1.68043131E8,1.1854894603174604,NaN
1134500.0,0,168238,NaN,1.68043131E8,1.1849669881004847,NaN
1135000.0,0,168238,NaN,1.68043131E8,1.1844449762114535,NaN
1135500.0,0,168238,NaN,1.68043131E8,1.183923424042272,NaN
1136000.0,0,168238,NaN,1.68043131E8,1.1834023309859156,NaN
1136500.0,0,168238,NaN,1.68043131E8,1.1828816964364275,NaN
1137000.0,0,168238,NaN,1.68043131E8,1.1823615197889183,NaN
1137500.0,0,168238,NaN,1.68043131E8,1.1818418004395606,NaN
1138000.0,0,168238,NaN,1.68043131E8,1.1813225377855887,NaN
1138500.0,0,168238,NaN,1.68043131E8,1.1808037312252964,NaN
1139000.0,0,168238,NaN,1.68043131E8,1.1802853801580335,NaN
1139500.0,0,168238,NaN,1.68043131E8,1.1797674839842036,NaN
